"5000, low-medium risk",,,,"15000, medium-high risk",,,,"100000, medium risk",,,
Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown
0.1074,0.1148,0.94,-0.2372,0.4604,0.2761,1.67,-0.274,,,,
0.1134,0.1268,0.89,-0.2356,,,,,,,,
0.1226,0.1391,0.88,-0.2492,,,,,,,,
,,,,,,,,,,,
0.1182,0.1472,0.8,-0.2725,,,,,,,,
0.1371,0.1382,0.99,-0.2609,,,,,,,,
,,,,,,,,,,,
0.1932,0.1863,1.04,-0.3074,,,,,,,,
0.1043,0.1109,0.94,-0.227,,,,,,,,
0.1307,0.1433,0.91,-0.2814,,,,,,,,
,,,,,,,,,,,
0.1153,0.1354,0.85,-0.2527,,,,,,,,
0.1211,0.1342,0.9,-0.243,,,,,,,,
0.1672,0.1897,0.88,-0.3316,,,,,,,,
0.1154,0.1378,0.84,-0.2608,,,,,,,,
0.116,0.1442,0.8,-0.2749,,,,,,,,
0.114,0.1202,0.95,-0.2388,,,,,,,,
0.1266,0.142,0.89,-0.2669,,,,,,,,
0.1515,0.1489,1.02,-0.2531,,,,,,,,
0.104,0.1194,0.87,-0.2461,,,,,,,,
0.1885,0.1759,1.07,-0.2994,,,,,,,,
0.1933,0.186,1.04,-0.3117,,,,,,,,
0.1457,0.1471,0.99,-0.2546,,,,,,,,
,,,,,,,,,,,
0.1258,0.1487,0.85,-0.2777,,,,,,,,
0.1266,0.148,0.86,-0.2733,,,,,,,,
0.1334,0.1509,0.88,-0.2697,,,,,,,,
0.1189,0.1358,0.88,-0.2583,,,,,,,,
0.1163,0.1447,0.8,-0.2719,,,,,,,,
0.1142,0.1429,0.8,-0.2694,,,,,,,,
0.1549,0.15,1.03,-0.2468,,,,,,,,
,,,,,,,,,,,
0.1391,0.1222,1.14,-0.2168,,,,,,,,
0.1934,0.1844,1.05,-0.3032,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0.1209,0.1319,0.92,-0.2368,,,,,,,,
0.2034,0.1837,1.11,-0.2693,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
